id ,weekday_first_reading,weekday_first_audio,weekday_alleluia_verse,weekday_alleluia_audio,weekday_responsorial_psalm,weekday_responsorial_audio,weekday_gospel,weekday_gospel_audio,weekday_cycle_num
220,"2 Sam 7:18-19, 24-29",,Ps 119:105,,"Ps 132:1-2, 3-5, 11, 12, 13-14",,Mark 4:21-25,,2
221,"2 Sam 11:1-4a, 5-10a, 13-17",,Matt 11:25,,"Ps 51:3-4, 5-6a, 6bcd-7, 10-11",,Mark 4:26-34,,2
222,"2 Sam 12:1-7a, 10-17",,John 3:16,,"Ps 51:12-13, 14-15, 16-17",,Mark 4:35-41,,2
223,"2 Sam 15:13-14, 30; 16:5-13",,Luke 7:16,,"Ps 3:2-3, 4-5, 6-7",,Mark 5:1-20,,2
224,"2 Sam 18:9-10, 14b, 24-25a, 30—19:3",,Matt 8:17,,"Ps 86:1-2, 3-4, 5-6",,Mark 5:21-43,,2
225,"2 Sam 24:2, 9-17",,John 10:27,,"Ps 32:1-2, 5, 6, 7",,Mark 6:1-6,,2
226,"1 Kgs 2:1-4, 10-12",,Mark 1:15,,"1 Chr 29:10bcd, 11ab, 11d-12a, 12bcd",,Mark 6:7-13,,2
227,Sir 47:2-11,,Luke 8:15,,"Ps 18:31, 47+50, 51",,Mark 6:14-29,,2
228,1 Kgs 3:4-13,,John 10:27,,"Ps 119:9, 10, 11, 12, 13, 14",,Mark 6:30-34,,2
229,"1 Kgs 8:1-7, 9-13",,Matt 4:23,,"Ps 132:6-7, 8-10",,Mark 6:53-56,,2
230,"1 Kgs 8:22-23, 27-30",,"Ps 119:36, 29b",,"Ps 84:3, 4, 5+10, 11",,Mark 7:1-13,,2
231,1 Kgs 10:1-10,,"John 17:17b, 17a",,"Ps 37:5-6, 30-31, 39-40",,Mark 7:14-23,,2
232,1 Kgs 11:4-13,,James 1:21bc,,"Ps 106:3-4, 35-36, 37+40",,Mark 7:24-30,,2
233,1 Kgs 11:29-32; 12:19,,Acts 16:14b,,"Ps 81:10-11ab, 12-13, 14-15",,Mark 7:31-37,,2
234,1 Kgs 12:26-32; 13:33-34,,Matt 4:4b,,"Ps 106:6-7ab, 19-20, 21-22",,Mark 8:1-10,,2
235,Jas 1:1-11,,John 14:6,,"Ps 119:67, 68, 71, 72, 75, 76",,Mark 8:11-13,,2
236,Jas 1:12-18,,John 14:23,,"Ps 94:12-13a, 14-15, 18-19",,Mark 8:14-21,,2
237,Jas 1:19-27,,Eph 1:17-18,,"Ps 15:2-3a, 3bc-4ab, 5",,Mark 8:22-26,,2
238,Jas 2:1-9,,"John 6:63c, 68c",,"Ps 34:2-3, 4-5, 6-7",,Mark 8:27-33,,2
239,"Jas 2:14-24, 26",,John 15:15b,,"Ps 112:1-2, 3-4, 5-6",,Mark 8:34—9:1,,2
240,Jas 3:1-10,,Mark 9:6,,"Ps 12:2-3, 4-5, 7-8",,Mark 9:2-13,,2
241,Jas 3:13-18,,2 Tim 1:10,,"Ps 19:8, 9, 10, 15",,Mark 9:14-29,,2
242,Jas 4:1-10,,Gal 6:14,,"Ps 55:7-8, 9-10a, 10b-11a, 23",,Mark 9:30-37,,2
243,Jas 4:13-17,,John 14:6,,"Ps 49:2-3, 6-7, 8-10, 11",,Mark 9:38-40,,2
244,Jas 5:1-6,,1 Thess 2:13,,"Ps 49:14-15ab, 15cd-16, 17-18, 19-20",,Mark 9:41-50,,2
245,Jas 5:9-12,,"John 17:17b, 17a",,"Ps 103:1-2, 3-4, 8-9, 11-12",,Mark 10:1-12,,2
246,Jas 5:13-20,,Matt 11:25,,"Ps 141:1-2, 3+8",,Mark 10:13-16,,2
247,1 Pet 1:3-9,,2 Cor 8:9,,"Ps 111:1-2, 5-6, 9,+10c",,Mark 10:17-27,,2
248,1 Pet 1:10-16,,Matt 11:25,,"Ps 98:1, 2-3ab, 3cd-4",,Mark 10:28-31,,2
249,1 Pet 1:18-25,,Mark 10:45,,"Ps 147:12-13, 14-15, 19-20",,Mark 10:32-45,,2
250,"1 Pet 2:2-5, 9-12",,John 8:12,,"Ps 100:2, 3, 4, 5",,Mark 10:46-52,,2
251,1 Pet 4:7-13,,John 15:16,,"Ps 96:10, 11-12, 13",,Mark 11:11-26,,2
252,"Jude 17, 20b-25",,"Col 3:16a, 17c",,"Ps 63:2, 3-4, 5-6",,Mark 11:27-33,,2
253,2 Pet 1:2-7,,Rev 1:5ab,,"Ps 91:1-2, 14-15ab, 15c-16",,Mark 12:1-12,,2
254,"2 Pet 3:12-15a, 17-18",,Eph 1:17-18,,"Ps 90:2, 3-4, 10, 14+16",,Mark 12:13-17,,2
255,"2 Tim 1:1-3, 6-12",,"John 11:25a, 26",,"Ps 123:1b-2ab, 2cdef",,Mark 12:18-27,,2
256,2 Tim 2:8-15,,2 Tim 1:10,,"Ps 25:4-5ab, 8-9, 10+14",,Mark 12:28b-34,,2
257,2 Tim 3:10-17,,John 14:23,,"Ps 119:157, 160, 161, 165, 166, 168",,Mark 12:35-37,,2
258,2 Tim 4:1-8,,Matt 5:3,,"Ps 71:8-9, 14-15ab, 16-17, 22",,Mark 12:38-44,,2
259,1 Kgs 17:1-6,,Matt 5:12a,,"Ps 121:1bc-2, 3-4, 5-6, 7-8",,Matt 5:1-12,,2
260,1 Kgs 17:7-16,,Matt 5:16,,"Ps 4:2-3, 4-5, 7b-8",,Matt 5:13-16,,2
261,1 Kgs 18:20-39,,"Ps 25:4b, 5a",,"Ps 16:1-2ab, 4, 5ab+8, 11",,Matt 5:17-19,,2
262,1 Kgs 18:41-46,,John 13:34,,"Ps 65:10, 11, 12-13",,Matt 5:20-26,,2
263,"1 Kgs 19:9a, 11-16",,"Phil 2:15d, 16a",,"Ps 27:7-8a, 8b-9abc, 13-14",,Matt 5:27-32,,2
264,1 Kgs 19:19-21,,"Ps 119:36a, 29b",,"Ps 16:1b-2a+5, 7-8, 9-10",,Matt 5:33-37,,2
265,1 Kgs 21:1-16,,Ps 119:105,,"Ps 5:2-3ab, 4b-6a, 6b-7",,Matt 5:38-42,,2
266,1 Kgs 21:17-29,,John 13:34,,"Ps 51:3-4, 5-6ab, 11+16",,Matt 5:43-48,,2
267,"2 Kgs 2:1, 6-14",,John 14:23,,"Ps 31:20, 21, 24",,"Matt 6:1-6, 16-18",,2
268,Sir 48:1-14,,Rom 8:15bc,,"Ps 97:1-2, 3-4, 5-6, 7",,Matt 6:7-15,,2
269,"2 Kgs 11:1-4, 9-18, 20",,Matt 5:3,,"Ps 132:11, 12, 13-14, 17-18",,Matt 6:19-23,,2
270,2 Chr 24:17-25,,2 Cor 8:9,,"Ps 89:4-5, 29-30, 31-32, 33-34",,Matt 6:24-34,,2
271,"2 Kgs 17:5-8, 13-15a, 18",,Heb 4:12,,"Ps 60:3, 4-5, 12-13",,Matt 7:1-5,,2
272,"2 Kgs 19:9b-11, 14-21, 31-35a, 36",,John 8:12,,"Ps 48:2-3ab, 3cd-4, 10-11",,"Matt 7:6, 12-14",,2
273,2 Kgs 22:8-13; 23:1-3,,"John 15:4a, 5b",,"Ps 119:33, 34, 35, 36, 37, 40",,Matt 7:15-20,,2
274,2 Kgs 24:8-17,,John 14:23,,"Ps 79:1b-2, 3-5, 8, 9",,Matt 7:21-29,,2
275,2 Kgs 25:1-12,,Matt 8:17,,"Ps 137:1-2, 3, 4-5, 6",,Matt 8:1-4,,2
276,"Lam 2:2, 10-14, 18-19",,Matt 8:17,,"Ps 74:1b-2, 3-5, 6-7, 20-21",,Matt 8:5-17,,2
277,"Amos 2:6-10, 13-16",,Ps 95:8,,"Ps 50:16bc-17, 18-19, 20-21, 22-23",,Matt 8:18-22,,2
278,Amos 3:1-8; 4:11-12,,Ps 130:5,,"Ps 5:4b-6a, 6b-7, 8",,Matt 8:23-27,,2
279,"Amos 5:14-15, 21-24",,James 1:18,,"Ps 50:7, 8-9, 10-11, 12-13, 16bc-17",,Matt 8:28-34,,2
280,Amos 7:10-17,,2 Cor 5:19,,"Ps 19:8, 9, 10, 11",,Matt 9:1-8,,2
281,"Amos 8:4-6, 9-12",,Matt 11:28,,"Ps 119:2, 10, 20, 30, 40, 131",,Matt 9:9-13,,2
282,Amos 9:11-15,,John 10:27,,"Ps 85:9ab+10, 11-12, 13-14",,Matt 9:14-17,,2
283,"Hos 2:16, 17c-18, 21-22",,2 Tim 1:10,,"Ps 145:2-3, 4-5, 6-7, 8-9",,Matt 9:18-26,,2
284,"Hos 8:4-7, 11-13",,John 10:14,,"Ps 115:3-4, 5-6, 7ab+8, 9-10",,Matt 9:32-38,,2
285,"Hos 10:1-3, 7-8, 12",,Mark 1:15,,"Ps 105:2-3, 4-5, 6-7",,Matt 10:1-7,,2
286,"Hos 11:1-4, 8e-9",,Mark 1:15,,"Ps 80:2ac+3b, 15-16",,Matt 10:7-15,,2
287,Hos 14:2-10,,John 16:13a; 14:26d,,"Ps 51:3-4, 8-9, 12-13, 14+17",,Matt 10:16-23,,2
288,Isa 6:1-8,,1 Pet 4:14,,"Ps 93:1ab, 1cd-2, 5",,Matt 10:24-33,,2
289,Isa 1:10-17,,Matt 5:10,,"Ps 50:8-9, 16bc-17, 21+23",,Matt 10:34—11:1,,2
290,Isa 7:1-9,,Ps 95:8,,"Ps 48:2-3a, 3b-4, 5-6, 7-8",,Matt 11:20-24,,2
291,"Isa 10:5-7, 13b-16",,Matt 11:25,,"Ps 94:5-6, 7-8, 9-10, 14-15",,Matt 11:25-27,,2
292,"Isa 26:7-9, 12, 16-19",,Matt 11:28,,"Ps 102:13-14ab+15, 16-18, 19-21",,Matt 11:28-30,,2
293,"Isa 38:1-6, 21-22, 7-8",,John 10:27,,"Isa 38:10, 11, 12abcd, 16",,Matt 12:1-8,,2
294,Mic 2:1-5,,2 Cor 5:19,,"Ps 10:1-2, 3-4, 7-8, 14",,Matt 12:14-21,,2
295,"Mic 6:1-4, 6-8",,Ps 95:8,,"Ps 50:5-6, 8-9, 16bc-17, 21+23",,Matt 12:38-42,,2
296,"Mic 7:14-15, 18-20",,John 14:23,,"Ps 85:2-4, 5-6, 7-8",,Matt 12:46-50,,2
297,"Jer 1:1, 4-10",,no biblical reference,,"Ps 71:1-2, 3-4a, 5-6ab, 15+17",,Matt 13:1-9,,2
298,"Jer 2:1-3, 7-8, 12-13",,Matt 11:25,,"Ps 36:6-7ab, 8-9, 10-11",,Matt 13:10-17,,2
299,Jer 3:14-17,,Luke 8:15,,"Jer 31:10, 11-12abcd, 13",,Matt 13:18-23,,2
300,Jer 7:1-11,,James 1:21bc,,"Ps 84:3, 4, 5-6a+8a, 11",,Matt 13:24-30,,2
301,Jer 13:1-11,,James 1:18,,"Deut 32:18-19, 20, 21",,Matt 13:31-35,,2
302,Jer 14:17-22,,no biblical reference,,"Ps 79:8, 9, 11+13",,Matt 13:36-43,,2
303,"Jer 15:10, 16-21",,John 15:15b,,"Ps 59:2-3, 4, 10-11, 17, 18",,Matt 13:44-46,,2
304,Jer 18:1-6,,Acts 16:14b,,"Ps 146:1b-2, 3-4, 5-6ab",,Matt 13:47-53,,2
305,Jer 26:1-9,,1 Pet 1:25,,"Ps 69:5, 8-10, 14",,Matt 13:54-58,,2
306,"Jer 26:11-16, 24",,Matt 5:10,,"Ps 69:15-16, 30-31, 33-34",,Matt 14:1-12,,2
307,Jer 28:1-17,,Matt 4:4,,"Ps 119:29, 43, 79, 80, 95, 102",,"Matt 14:13-21  or,",,2
308,"Jer 30:1-2, 12-15, 18-22",,John 1:49b,,"Ps 102:16-18, 19-21, 29+22-23",,"Matt 14:22-36  or, ",,2
309,Jer 31:1-7,,Luke 7:16,,"Jer 31:10, 11-12ab, 13",,Matt 15:21-28,,2
310,Jer 31:31-34,,Matt 16:18,,"Ps 51:12-13, 14-15, 18-19",,Matt 16:13-23,,2
311,"Nah 2:1, 3; 3:1-3, 6-7",,Matt 5:10,,"Deut 32:35cd-36ab, 39abcd, 41",,Matt 16:24-28,,2
312,Hab 1:12—2:4,,2 Tim 1:10,,"Ps 9:8-9, 10-11, 12-13",,Matt 17:14-20,,2
313,"Ezek 1:2-5, 24-28c",,2 Thess 2:14,,"Ps 148:1-2, 11-12, 13, 14",,Matt 17:22-27,,2
314,Ezek 2:8—3:4,,Matt 11:29ab,,"Ps 119:14, 24, 72, 103, 111, 131",,"Matt 18:1-5, 10, 12-14",,2
315,Ezek 9:1-7; 10:18-22,,2 Cor 5:19,,"Ps 113:1-2, 3-4, 5-6",,Matt 18:15-20,,2
316,Ezek 12:1-12,,Ps 119:135,,"Ps 78:56-57, 58-59, 61-62",,Matt 18:21—19:1,,2
317,"Ezek 16:1-15, 60, 63 or 16:59-63",,1 Thess 2:13,,"Isa 12:2-3, 4bcd, 5-6",,Matt 19:3-12,,2
318,"Ezek 18:1-10, 13b, 30-32",,Matt 11:25,,"Ps 51:12-13, 14-15, 18-19",,Matt 19:13-15,,2
319,Ezek 24:15-23,,Matt 5:3,,"Deut 32:18-19, 20, 21",,Matt 19:16-22,,2
320,Ezek 28:1-10,,2 Cor 8:9,,"Deut 32:26-27ab, 27cd-28, 30, 35cd-36ab",,Matt 19:23-30,,2
321,Ezek 34:1-11,,Heb 4:12,,"Ps 23:1-3a, 3b-4, 5, 6",,Matt 20:1-16,,2
322,Ezek 36:23-28,,Ps 95:8,,"Ps 51:12-13, 14-15, 18-19",,Matt 22:1-14,,2
323,Ezek 37:1-14,,"Ps 25:4b, 5a",,"Ps 107:2-3, 4-5, 6-7, 8-9",,Matt 22:34-40,,2
324,Ezek 43:1-7ab,,"Matt 23:9b, 10b",,"Ps 85:9ab+10, 11-12, 13-14",,Matt 23:1-12,,2
325,"2 Thess 1:1-5, 11-12",,John 10:27,,"Ps 96:1-2a, 2b-3, 4-5",,Matt 23:13-22,,2
326,"2 Thess 2:1-3a, 14-17",,Heb 4:12,,"Ps 96:10, 11-12, 13",,Matt 23:23-26,,2
327,"2 Thess 3:6-10, 16-18",,1 John 2:5,,"Ps 128:1-2, 4-5",,Matt 23:27-32,,2
328,1 Cor 1:1-9,,"Matt 24:42a, 44",,"Ps 145:2-3, 4-5, 6-7",,Matt 24:42-51,,2
329,1 Cor 1:17-25,,Luke 21:36,,"Ps 33:1-2, 4-5, 10-11",,Matt 25:1-13,,2
330,1 Cor 1:26-31,,John 13:34,,"Ps 33:12-13, 18-19, 20-21",,Matt 25:14-30,,2
331,1 Cor 2:1-5,,Luke 4:18,,"Ps 119:97, 98, 99, 100, 101, 102",,Luke 4:16-30,,2
332,1 Cor 2:10b-16,,Luke 7:16,,"Ps 145:8-9, 10-11, 12-13ab, 13cd-14",,Luke 4:31-37,,2
333,1 Cor 3:1-9,,Luke 4:18,,"Ps 33:12-13, 14-15, 20-21",,Luke 4:38-44,,2
334,1 Cor 3:18-23,,Matt 4:19,,"Ps 24:1bc-2, 3-4ab, 5-6",,Luke 5:1-11,,2
335,1 Cor 4:1-5,,John 8:12,,"Ps 37:3-4, 5-6, 27-28, 39-40",,Luke 5:33-39,,2
336,1 Cor 4:6b-15,,John 14:6,,"Ps 145:17-18, 19-20, 21",,Luke 6:1-5,,2
337,1 Cor 5:1-8,,John 10:27,,"Ps 5:5-6, 7, 12",,Luke 6:6-11,,2
338,1 Cor 6:1-11,,John 15:16,,"Ps 149:1b-2, 3-4, 5-6a+9b",,Luke 6:12-19,,2
339,1 Cor 7:25-31,,Luke 6:23ab,,"Ps 45:11-12, 14-15, 16-17",,Luke 6:20-26,,2
340,"1 Cor 8:1b-7, 11-13",,1 John 4:12,,"Ps 139:1b-3, 13-14ab, 23-24",,Luke 6:27-38,,2
341,"1 Cor 9:16-19, 22b-27",,"John 17:17b, 17a",,"Ps 84:3, 4, 5-6, 12",,Luke 6:39-42,,2
342,1 Cor 10:14-22,,John 14:23,,"Ps 116:12-13, 17-18",,Luke 6:43-49,,2
343,"1 Cor 11:17-26, 33",,John 3:16,,"Ps 40:7-8a, 8b-9, 10, 17",,Luke 7:1-10,,2
344,"1 Cor 12:12-14, 27-31a",,Luke 7:16,,"Ps 100:1b-2, 3, 4, 5",,Luke 7:11-17,,2
345,1 Cor 12:31—13:13,,"John 6:63c, 68c",,"Ps 33:2-3, 4-5, 12+22",,Luke 7:31-35,,2
346,1 Cor 15:1-11,,Matt 11:28,,"Ps 118:1b-2, 16ab+17, 28",,Luke 7:36-50,,2
347,1 Cor 15:12-20,,Matt 11:25,,"Ps 17:1bcd, 6-7, 8b+15",,Luke 8:1-3,,2
348,"1 Cor 15:35-37, 42-49",,Luke 8:15,,"Ps 56:10c-12, 13-14",,Luke 8:4-15,,2
349,Prov 3:27-34,,Matt 5:16,,"Ps 15:2-3a, 3bc-4ab, 5",,Luke 8:16-18,,2
350,"Prov 21:1-6, 10-13",,Luke 11:28,,"Ps 119:1, 27, 30, 34, 35, 44",,Luke 8:19-21,,2
351,Prov 30:5-9,,Mark 1:15,,"Ps 119:29, 72, 89, 101, 104, 163",,Luke 9:1-6,,2
352,Eccl/Qoh 1:2-11,,John 14:6,,"Ps 90:3-4, 5-6, 12-13, 14+17bc",,Luke 9:7-9,,2
353,Eccl/Qoh 3:1-11,,Mark 10:45,,"Ps 144:1b+2abc, 3-4",,Luke 9:18-22,,2
354,Eccl/Qoh 11:9—12:8,,2 Tim 1:10,,"Ps 90:3-4, 5-6, 12-13, 14+17",,Luke 9:43b-45,,2
355,Job 1:6-22,,Mark 10:45,,"Ps 17:1bcd, 2-3, 6-7",,Luke 9:46-50,,2
356,"Job 3:1-3, 11-17, 20-23",,Mark 10:45,,"Ps 88:2-3, 4-5, 6, 7-8",,Luke 9:51-56,,2
357,"Job 9:1-12, 14-16",,Phil 3:8-9,,"Ps 88:10bc-11, 12-13, 14-15",,Luke 9:57-62,,2
358,Job 19:21-27,,Mark 1:15,,"Ps 27:7-8a, 8b-9abc, 13-14",,Luke 10:1-12,,2
359,"Job 38:1, 12-21; 40:3-5",,Ps 95:8,,"Ps 139:1-3, 7-8, 9-10, 13-14ab",,Luke 10:13-16,,2
360,"Job 42:1-3, 5-6, 12-17",,Matt 11:25,,"Ps 119:66, 71, 75, 91, 125, 130",,Luke 10:17-24,,2
361,Gal 1:6-12,,John 13:34,,"Ps 111:1b-2, 7-8, 9+10c",,Luke 10:25-37,,2
362,Gal 1:13-24,,Luke 11:28,,"Ps 139:1b-3, 13-14ab, 14c-15",,Luke 10:38-42,,2
363,"Gal 2:1-2, 7-14",,Rom 8:15bc,,"Ps 117:1bc, 2",,Luke 11:1-4,,2
364,Gal 3:1-5,,Acts 16:14b,,"Luke 1:69-70, 71-72, 73-75",,Luke 11:5-13,,2
365,Gal 3:7-14,,John 12:31b-32,,"Ps 111:1b-2, 3-4, 5-6",,Luke 11:15-26,,2
366,Gal 3:22-29,,Luke 11:28,,"Ps 105:2-3, 4-5, 6-7",,Luke 11:27-28,,2
367,"Gal 4:22-24, 26-27, 31—5:1",,Ps 95:8,,"Ps 113:1b-2, 3-4, 5a+6-7",,Luke 11:29-32,,2
368,Gal 5:1-6,,Heb 4:12,,"Ps 119:41, 43, 44, 45, 47, 48",,Luke 11:37-41,,2
369,Gal 5:18-25,,John 10:27,,"Ps 1:1-2, 3, 4+6",,Luke 11:42-46,,2
370,Eph 1:1-10,,John 14:6,,"Ps 98:1, 2-3ab, 3cd-4, 5-6",,Luke 11:47-54,,2
371,Eph 1:11-14,,Ps 33:22,,"Ps 33:1-2, 4-5, 12-13",,Luke 12:1-7,,2
372,Eph 1:15-23,,"John 15:26b, 27a",,"Ps 8:2-3ab, 4-5, 6-7",,Luke 12:8-12,,2
373,Eph 2:1-10,,Matt 5:3,,"Ps 100:1b-2, 3, 4ab, 4c-5",,Luke 12:13-21,,2
374,Eph 2:12-22,,Luke 21:36,,"Ps 85:9ab+10, 11-12, 13-14",,Luke 12:35-38,,2
375,Eph 3:2-12,,"Matt 24:42a, 44",,"Isa 12:2-3, 4bcd, 5-6",,Luke 12:39-48,,2
376,Eph 3:14-21,,Phil 3:8-9,,"Ps 33:1-2, 4-5, 11-12, 18-19",,Luke 12:49-53,,2
377,Eph 4:1-6,,Matt 11:25,,"Ps 24:1-2, 3-4ab, 5-6",,Luke 12:54-59,,2
378,Eph 4:7-16,,Ezek 33:11,,"Ps 122:1-2, 3-4ab, 4cd-5",,Luke 13:1-9,,2
379,Eph 4:32—5:8,,"John 17:17b, 17a",,"Ps 1:1-2, 3, 4+6",,Luke 13:10-17,,2
380,Eph 5:21-33,,Matt 11:25,,"Ps 128:1-2, 3, 4-5",,Luke 13:18-21,,2
381,Eph 6:1-9,,2 Thess 2:14,,"Ps 145:10-11, 12-13ab, 13cd-14",,Luke 13:22-30,,2
382,Eph 6:10-20,,Luke 19:38; 2:14,,"Ps 144:1b, 2, 9-10",,Luke 13:31-35,,2
383,Phil 1:1-11,,John 10:27,,"Ps 111:1-2, 3-4, 5-6",,Luke 14:1-6,,2
384,Phil 1:18b-26,,Matt 11:29ab,,"Ps 42:2, 3, 5cdef",,"Luke 14:1, 7-11",,2
385,Phil 2:1-4,,John 8:31b-32,,"Ps 131:1bcde, 2, 3",,Luke 14:12-14,,2
386,Phil 2:5-11,,Matt 11:28,,"Ps 22:26b-27, 28-30ab, 30e, 31-32",,Luke 14:15-24,,2
387,Phil 2:12-18,,1 Pet 4:14,,"Ps 27:1, 4, 13-14",,Luke 14:25-33,,2
388,Phil 3:3-8a,,Matt 11:28,,"Ps 105:2-3, 4-5, 6-7",,Luke 15:1-10,,2
389,Phil 3:17—4:1,,1 John 2:5,,"Ps 122:1-2, 3-4ab, 4cd-5",,Luke 16:1-8,,2
390,Phil 4:10-19,,2 Cor 8:9,,"Ps 112:1b-2, 5-6, 8a+9",,Luke 16:9-15,,2
391,Titus 1:1-9,,"Phil 2:15d, 16a",,"Ps 24:1b-2, 3-4ab, 5-6",,Luke 17:1-6,,2
392,"Titus 2:1-8, 11-14",,John 14:23,,"Ps 37:3-4, 18+23, 27+29",,Luke 17:7-10,,2
393,Titus 3:1-7,,1 Thess 5:18,,"Ps 23:1b-3a, 3bc-4, 5, 6",,Luke 17:11-19,,2
394,Phlm 7-20,,John 15:5,,"Ps 146:7, 8-9a, 9bc-10",,Luke 17:20-25,,2
395,2 John 4-9,,Luke 21:28,,"Ps 119:1, 2, 10, 11, 17, 18",,Luke 17:26-37,,2
396,3 John 5-8,,2 Thess 2:14,,"Ps 112:1-2, 3-4, 5-6",,Luke 18:1-8,,2
397,Rev 1:1-4; 2:1-5,,John 8:12,,"Ps 1:1-2, 3, 4+6",,Luke 18:35-43,,2
398,"Rev 3:1-6, 14-22",,1 John 4:10b,,"Ps 15:2-3a, 3bc-4ab, 5",,Luke 19:1-10,,2
399,Rev 4:1-11,,John 15:16,,"Ps 150:1b-2, 3-4, 5-6",,Luke 19:11-28,,2
400,Rev 5:1-10,,Ps 95:8,,"Ps 149:1b-2, 3-4, 5-6a+9b",,Luke 19:41-44,,2
401,Rev 10:8-11,,John 10:27,,"Ps 119:14, 24, 72, 103, 111, 131",,Luke 19:45-48,,2
402,Rev 11:4-12,,2 Tim 1:10,,"Ps 144:1, 2, 9-10",,Luke 20:27-40,,2
403,"Rev 14:1-3, 4b-5",,"Matt 24:42a, 44",,"Ps 24:1bc-2, 3-4ab, 5-6",,Luke 21:1-4,,2
404,Rev 14:14-19,,Rev 2:10c,,"Ps 96:10, 11-12, 13",,Luke 21:5-11,,2
405,Rev 15:1-4,,Rev 2:10c,,"Ps 98:1, 2-3ab, 7-8, 9",,Luke 21:12-19,,2
406,"Rev 18:1-2, 21-23; 19:1-3, 9a",,Luke 21:28,,"Ps 100:1b-2, 3, 4, 5",,Luke 21:20-28,,2
407,"Rev 20:1-4, 11—21:2",,Luke 21:28,,"Ps 84:3, 4, 5-6a+8a",,Luke 21:29-33,,2
408,Rev 22:1-7,,Luke 21:36,,"Ps 95:1-2, 3-5, 6-7ab",,Luke 21:34-36,,2
