id ,weekday_first_reading,weekday_first_audio,weekday_alleluia_verse,weekday_alleluia_audio,weekday_responsorial_psalm,weekday_responsorial_audio,weekday_gospel,weekday_gospel_audio,weekday_cycle_num
101,"Lev 23:1, 4-11, 15-16, 27, 34b-37",,1 Pet 1:25,,"Ps 81:3-4, 5-6ab, 10-11ab",,Matt 13:54-58,,1
102,"Lev 25:1, 8-17",,Matt 5:10,,"Ps 67:2-3, 5, 7-8",,Matt 14:1-12,,1
103,Num 11:4b-15,,Matt 4:4,,"Ps 81:12-13, 14-15, 16-17",,"Matt 14:13-21  or,",,1
104,Num 12:1-13,,John 1:49b,,"Ps 51:3-4, 5-6ab, 6cd-7, 12-13",,"Matt 14:22-36  or, ",,1
105,"Num 13:1-2, 25—14:1, 26a-29a, 34-35",,Luke 7:16,,"Ps 106:6-7ab, 13-14, 21-22, 23",,Matt 15:21-28,,1
106,Num 20:1-13,,Matt 16:18,,"Ps 95:1-2, 6-7, 8-9",,Matt 16:13-23,,1
107,Deut 4:32-40,,Matt 5:10,,"Ps 77:12-13, 14-15, 16+21",,Matt 16:24-28,,1
108,Deut 6:4-13,,2 Tim 1:10,,"Ps 18:2-3a, 3bc-4, 47+51",,Matt 17:14-20,,1
109,Deut 10:12-22,,2 Thess 2:14,,"Ps 147:12-13, 14-15, 19-20",,Matt 17:22-27,,1
110,Deut 31:1-8,,Matt 11:29ab,,"Deut 32:3-4ab, 7, 8, 9+12",,"Matt 18:1-5, 10, 12-14",,1
111,Deut 34:1-12,,2 Cor 5:19,,"Ps 66:1-3a, 5+8, 16-17",,Matt 18:15-20,,1
112,"Josh 3:7-10a, 11, 13-17",,Ps 119:135,,"Ps 114:1-2, 3-4, 5-6",,Matt 18:21—19:1,,1
113,Josh 24:1-13,,1 Thess 2:13,,"Ps 136:1-3, 16-18, 21-22+24",,Matt 19:3-12,,1
114,Josh 24:14-29,, Matt 11:25,,"Ps 16:1-2a+5, 7-8, 11",,Matt 19:13-15,,1
115,Judg 2:11-19,,Matt 5:3,,"Ps 106:34-35, 36-37, 39-40, 43ab+44",,Matt 19:16-22,,1
116,Judg 6:11-24a,,2 Cor 8:9,,"Ps 85:9, 11-12, 13-14",,Matt 19:23-30,,1
117,Judg 9:6-15,,Heb 4:12,,"Ps 21:2-3, 4-5, 6-7",,Matt 20:1-16,,1
118,Judg 11:29-39a,,Ps 95:8,,"Ps 40:5, 7-8a, 8b-9, 10",,Matt 22:1-14,,1
119,"Ruth 1:1, 3-6, 14b-16, 22",,"Ps 25:4b, 5a",,"Ps 146:5-6ab, 6c-7, 8-9a, 9bc-10",,Matt 22:34-40,,1
120,"Ruth 2:1-3, 8-11; 4:13-17",,"Matt 23:9b, 10b",,"Ps 128:1b-2, 3, 4, 5",,Matt 23:1-12,,1
121,"1 Thess 1:1-5, 8b-10",,John 10:27,,"Ps 149:1b-2, 3-4, 5-6a+9b",,Matt 23:13-22,,1
122,1 Thess 2:1-8,,Heb 4:12,,"Ps 139:1-3, 4-6",,Matt 23:23-26,,1
123,1 Thess 2:9-13,,1 John 2:5,,"Ps 139:7-8, 9-10, 11-12ab",,Matt 23:27-32,,1
124,1 Thess 3:7-13,,"Matt 24:42a, 44",,"Ps 90:3-4, 12-13, 14+17",,Matt 24:42-51,,1
125,1 Thess 4:1-8,,Luke 21:36,,"Ps 97:1+2b, 5-6, 10, 11-12",,Matt 25:1-13,,1
126,1 Thess 4:9-11,,John 13:34,,"Ps 98:1, 7-8, 9",,Matt 25:14-30,,1
127,1 Thess 4:13-18,,Luke 4:18,,"Ps 96:1+3, 4-5, 11-12, 13",,Luke 4:16-30,,1
128,"1 Thess 5:1-6, 9-11",,Luke 7:16,,"Ps 27:1, 4, 13-14",,Luke 4:31-37,,1
129,Col 1:1-8,,Luke 4:18,,"Ps 52:10, 11",,Luke 4:38-44,,1
130,Col 1:9-14,,Matt 4:19,,"Ps 98:2-3ab, 3cd-4, 5-6",,Luke 5:1-11,,1
131,Col 1:15-20,,John 8:12,,"Ps 100:1b-2, 3, 4, 5",,Luke 5:33-39,,1
132,Col 1:21-23,,John 14:6,,"Ps 54:3-4, 6+8",,Luke 6:1-5,,1
133,Col 1:24—2:3,,John 10:27,,"Ps 62:6-7, 9",,Luke 6:6-11,,1
134,Col 2:6-15,,John 15:16,,"Ps 145:1b-2, 8-9, 10-11",,Luke 6:12-19,,1
135,Col 3:1-11,,Luke 6:23ab,,"Ps 145:2-3, 10-11, 12-13ab",,Luke 6:20-26,,1
136,Col 3:12-17,,1 John 4:12,,"Ps 150:1b-2, 3-4, 5-6",,Luke 6:27-38,,1
137,"1 Tim 1:1-2, 12-14",,"John 17:17b, 17a",,"Ps 16:1b-2a+5, 7-8, 11",,Luke 6:39-42,,1
138,1 Tim 1:15-17,,John 14:23,,"Ps 113:1b-2, 3-4, 5a+6-7",,Luke 6:43-49,,1
139,1 Tim 2:1-8,,John 3:16,,"Ps 28:2, 7, 8-9",,Luke 7:1-10,,1
