id,sunday_weeknum,sunday_name,sunday_first_reading,sunday_first_audio,sunday_second_reading,sunday_second_audio,sunday_alleluia_verse,sunday_alleluia_audio,sunday_responsorial_psalm,sunday_responsorial_audio,sunday_gospel,sunday_gospel_audio,sunday_before_gospel,sunday_before_gospel_audio,sunday_cycle_type,sunday_reading_type,sunday_description
83,15,15th Sunday in Ordinary Time - C,Deut 30:10-14,,Col 1:15-20,,Col 1:15-20,,Ps 69:14+17,,Luke 10:25-37,,,,C,ordinary,
84,16,16th Sunday in Ordinary Time - C,Gen 18:1-10a,,Col 1:24-28,,Col 1:24-28,,Ps 15:2-3a,,Luke 10:38-42,,,,C,ordinary,
85,17,17th Sunday in Ordinary Time - C,Gen 18:20-32,,Col 2:12-14,,Col 2:12-14,,Ps 138:1-2,,Luke 11:1-13,,,,C,ordinary,
86,18,18th Sunday in Ordinary Time - C,Eccl 1:2,,Col 3:1-5,,Col 3:1-5,,Ps 90:3-4,,Luke 12:13-21,,,,C,ordinary,
87,19,19th Sunday in Ordinary Time - C,Wis 18:6-9,,Heb 11:1-2,,Heb 11:1-2,,Ps 33:1+12,,Luke 12:32-48,,,,C,ordinary,
88,20,20th Sunday in Ordinary Time - C,Jer 38:4-6,,Heb 12:1-4,,Heb 12:1-4,,Ps 40:2,,Luke 12:49-53,,,,C,ordinary,
89,21,21st Sunday in Ordinary Time - C,Isa 66:18-21,,Heb 12:5-7,,Heb 12:5-7,,Ps 117:1,,Luke 13:22-30,,,,C,ordinary,
90,22,22nd Sunday in Ordinary Time - C,"Sir 3:17-18, 20",,Heb 12:18-19,,Heb 12:18-19,,Ps 68:4-5,,Luke 14:1,,,,C,ordinary,
91,23,23rd Sunday in Ordinary Time - C,Wis 9:13-18b,,Phlm 9-10,,Phlm 9-10,,Ps 90:3-4,,Luke 14:25-33,,,,C,ordinary,
92,24,24th Sunday in Ordinary Time - C,"Exod 32:7-11, 13-14",,1 Tim 1:12-17,,1 Tim 1:12-17,,Ps 51:3-4,,Luke 15:1-32,,,,C,ordinary,
93,25,25th Sunday in Ordinary Time - C,Amos 8:4-7,,1 Tim 2:1-8,,1 Tim 2:1-8,,Ps 113:1-2,,Luke 16:1-13,,,,C,ordinary,
94,26,26th Sunday in Ordinary Time - C,Amos 6:1a,,1 Tim 6:11-16,,1 Tim 6:11-16,,Ps 146:6c-7,,Luke 16:19-31,,,,C,ordinary,
95,27,27th Sunday in Ordinary Time - C,Habb 1:2-3,,2 Tim 1:6-8,,2 Tim 1:6-8,,Ps 95:1-2,,Luke 17:5-10,,,,C,ordinary,
96,28,28th Sunday in Ordinary Time - C,2 Kgs 5:14-17,,2 Tim 2:8-13,,2 Tim 2:8-13,,Ps 98:1,,Luke 17:11-19,,,,C,ordinary,
97,29,29th Sunday in Ordinary Time - C,Exod 17:8-13,,2 Tim 3:14-4:2,,2 Tim 3:14-4:2,,Ps 121:1-2,,Luke 18:1-8,,,,C,ordinary,
98,30,30th Sunday in Ordinary Time - C,"Sir 35:12-14, 16-18 ",,2 Tim 4:6-8,,2 Tim 4:6-8,,Ps 34:2-3,,Luke 18:9-14,,,,C,ordinary,
99,31,31st Sunday in Ordinary Time - C,Wis 11:22-12:2 ,,2 Thess 1:11-2:2,,2 Thess 1:11-2:2,,Ps 145:1-2,,Luke 19:1-10,,,,C,ordinary,
100,32,32nd Sunday in Ordinary Time - C,"2 Macc 7:1-2, 9-14",,2 Thess 2:16-3:5,,2 Thess 2:16-3:5,,Ps 17:1,,Luke 20:27-38,,,,C,ordinary,
101,33,33rd Sunday in Ordinary Time - C,Mal 3:19-20a,,2 Thess 3:7-12,,2 Thess 3:7-12,,Ps 98:5-6,,Luke 21:5-19,,,,C,ordinary,
102,34,34th or Last Sunday in Ordinary Time - C,2 Sam 5:1-3,,Col 1:12-20,,Col 1:12-20,,Ps 122:1-2,,Luke 23:35-43,,,,C,ordinary,: The Solemnity of Our Lord Jesus Christ the King
103,1,1st Sunday of Advent - A,Isa 2:1-5,,Rom 13:11-14,,Ps 85:8,,Ps 122:1-2,,Matt 24:37-44,,,,A,advent,
104,2,2nd Sunday of Advent - A,Isa 11:1-10,,Rom 15:4-9,,Luke 3:4+6,,Ps 72:1-2,,Matt 3:1-12,,,,A,advent,
105,3,3rd Sunday of Advent - A,Isa 35:1-6a,,Jas 5:7-10,,Isa 61:1 ,,Ps 146:6c-7,,Matt 11:2-11,,,,A,advent,
106,4,4th Sunday of Advent - A,Isa 7:10-14,,Rom 1:1-7,,Matt 1:23,,Ps 24:1-2,,Matt 1:18-24,,,,A,advent,
107,1,1st Sunday of Advent - B,Isa 63:16b-17,,1 Cor 1:3-9,,Ps 85:8,,Ps 80:2-3,,Mark 13:33-37,,,,B,advent,
108,2,2nd Sunday of Advent - B,Isa 40:1-5,,2 Pet 3:8-14,,Luke 3:4+6,,Ps 85:9ab+10,,Mark 1:1-8,,,,B,advent,
109,3,3rd Sunday of Advent - B,Isa 61:1-2a,,1 Thess 5:16-24,,Isa 61:1,,Luke 1:46-48,,John 1:6-8,,,,B,advent,
110,4,4th Sunday of Advent - B,2 Sam 7:1-5,,Rom 16:25-27,,Luke 1:38,,Ps 89:2-3,,Luke 1:26-38,,,,B,advent,
111,1,1st Sunday of Advent - C,Jer 33:14-16,,1 Thess 3:12-4:2,,Ps 85:8,,Ps 25:4-5,,Luke 21:25-28,,,,C,advent,
112,2,2nd Sunday of Advent - C,Bar 5:1-9,,Phil 1:4-6,,Luke 3:4+6,,Ps 126:1-2a,,Luke 3:1-6,,,,C,advent,
