id,year,sunday_cycle,weekday_cycle,week_ot_before_length,ash_wednesday,easter_sunday,pentecost_sunday,week_ot_after_pentecost,first_sunday_of_advent
0,1969,A,1,6,2/19/1969,4/6/1969,5/25/1969,8,11/30/1969
0,1970,B,2,5,2/11/1970,3/29/1970,5/17/1970,7,11/29/1970
0,1971,C,1,7,2/24/1971,4/11/1971,5/30/1971,9,11/28/1971
0,1972,A,2,6,2/16/1972,4/2/1972,5/21/1972,7,12/3/1972
0,1973,B,1,10,3/7/1973,4/22/1973,6/10/1973,12,12/2/1973
0,1974,C,2,7,2/1/1974,4/14/1974,6/2/1974,9,12/1/1974
0,1975,A,1,5,2/12/1975,3/30/1975,5/18/1975,7,11/30/1975
0,1976,B,2,8,3/3/1976,4/18/1976,6/6/1976,10,11/28/1976
0,1977,C,1,7,2/23/1977,4/10/1977,5/29/1977,9,11/27/1977
0,1978,A,2,5,2/8/1978,3/26/1978,5/14/1978,6,12/3/1978
0,1979,B,1,8,2/28/1979,4/15/1979,6/3/1979,9,12/2/1979
0,1980,C,2,6,2/20/1980,4/6/1980,5/25/1980,8,11/30/1980
0,1981,A,1,8,3/4/1981,4/19/1981,6/7/1981,10,11/29/1981
0,1982,B,2,7,2/24/1982,4/11/1982,5/30/1982,9,11/28/1982
0,1983,C,1,6,2/16/1983,4/3/1983,5/22/1983,8,11/27/1983
0,1984,A,2,9,3/7/1984,4/22/1984,6/10/1984,10,12/2/1984
0,1985,B,1,6,2/20/1985,4/7/1985,5/26/1985,8,12/1/1985
0,1986,C,2,5,2/12/1986,3/30/1986,5/18/1986,7,11/30/1986
0,1987,A,1,8,3/4/1987,4/19/1987,6/7/1987,10,11/29/1987
0,1988,B,2,6,2/17/1988,4/3/1988,5/22/1988,8,11/27/1988
0,1989,C,1,5,2/8/1989,3/26/1989,5/14/1989,6,12/3/1989
0,1990,A,2,8,2/28/1990,4/15/1990,6/3/1990,9,12/2/1990
0,1991,B,1,5,2/13/1991,3/31/1991,5/19/1991,7,12/1/1991
0,1992,C,2,8,3/4/1992,4/19/1992,6/7/1992,10,11/29/1992
0,1993,A,1,7,2/24/1993,4/11/1993,5/30/1993,9,11/28/1993
0,1994,B,2,6,2/16/1994,4/3/1994,5/22/1994,8,11/27/1994
0,1995,C,1,8,3/1/1995,4/16/1995,6/4/1995,9,12/3/1995
0,1996,A,2,7,2/21/1996,4/7/1996,5/26/1996,8,12/1/1996
0,1997,B,1,5,2/12/1997,3/30/1997,5/18/1997,7,6/19/1905
0,1998,C,2,7,2/25/1998,4/12/1998,5/31/1998,9,11/29/1998
0,1999,A,1,6,2/17/1999,4/4/1999,5/23/1999,8,11/28/1999
0,2000,B,2,9,3/8/2000,4/23/2000,6/11/2000,10,12/3/2000
0,2001,C,1,7,2/28/2001,4/15/2001,6/3/2001,9,12/2/2001
0,2002,A,2,5,2/13/2002,3/31/2002,5/19/2002,7,12/1/2002
0,2003,B,1,8,3/5/2003,4/20/2003,6/8/2003,10,11/30/2003
0,2004,C,2,7,2/25/2004,4/11/2004,5/30/2004,9,11/28/2004
0,2005,A,1,5,2/9/2005,3/27/2005,5/15/2005,7,11/27/2005
0,2006,B,2,8,3/1/2006,4/16/2006,6/4/2006,9,12/3/2006
0,2007,C,1,7,2/21/2007,4/8/2007,5/27/2007,8,12/2/2007
0,2008,A,2,4,2/6/2008,3/23/2008,5/11/2008,6,11/30/2008
0,2009,B,1,7,2/25/2009,4/12/2009,5/31/2009,9,11/29/2009
0,2010,C,2,6,2/17/2010,4/4/2010,5/23/2010,8,11/28/2010
0,2011,A,1,9,3/9/2011,4/24/2011,6/12/2011,11,11/27/2011
0,2012,B,2,7,2/22/2012,4/8/2012,5/27/2012,8,12/2/2012
0,2013,C,1,5,2/13/2013,3/31/2013,5/19/2013,7,12/1/2013
0,2014,A,2,8,3/5/2014,4/20/2014,6/8/2014,10,11/30/2014
0,2015,B,1,6,2/18/2015,4/5/2015,5/24/2015,8,11/29/2015
0,2016,C,2,5,2/10/2016,3/27/2016,5/15/2016,7,11/27/2016
0,2017,A,1,8,3/1/2017,4/16/2017,6/4/2017,9,12/3/2017
0,2018,B,2,6,2/14/2018,4/1/2018,5/20/2018,7,12/2/2018
0,2019,C,1,8,3/6/2019,4/21/2019,6/9/2019,10,12/1/2019
0,2020,A,2,7,2/26/2020,4/12/2020,5/31/2020,9,11/29/2020
0,2021,B,1,6,2/27/2021,4/4/2021,5/23/2021,8,11/28/2021
0,2022,C,2,8,3/2/2022,4/17/2022,6/5/2022,10,11/27/2022
0,2023,A,1,7,2/22/2023,4/9/2023,5/28/2023,8,12/3/2023
0,2024,B,2,6,2/14/2024,3/31/2024,5/19/2024,7,12/1/2024
0,2025,C,1,8,3/5/2025,4/20/2025,6/8/2025,10,11/30/2025
0,2026,A,2,6,2/18/2026,4/5/2026,5/24/2026,8,11/29/2026
